"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"U4","MPU-6500","Top","INSE-MPU-6500-QFN24_M","21.1431","12.3962","90","3-Axis Gyroscope and 3-Axis Accelerometer Motion Processing Unit with I2C and SPI, 1.71 to 3.45 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"C14","100nF","Top","CAPC1050X55X23ML05T13","21.2090","15.5448","0","Chip Capacitor,�100 nF, +/- 10%,�16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"J3","M20-9990846","Top","FP-M20-9990846-MFG","18.4912","43.3324","0","CONN HEADER VERT 8POS 2.54MM"
"C13","100nF","Top","CAPC1050X55X23ML05T13","18.4150","26.2382","0","Chip Capacitor,�100 nF, +/- 10%,�16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C12","100nF","Top","CAPC1050X55X23ML05T13","31.5722","26.4160","90","Chip Capacitor,�100 nF, +/- 10%,�16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"J6","M20-9990846","Top","FP-M20-9990846-MFG","57.4802","43.3324","0","CONN HEADER VERT 8POS 2.54MM"
"J5","M20-9990846","Top","FP-M20-9990846-MFG","57.5056","3.5814","0","CONN HEADER VERT 8POS 2.54MM"
"U3","STM32L431CCT6","Top","QFP50P900X900X160-48N","25.4110","23.4656","0","ARM® Cortex®-M4 STM32L4 Microcontroller IC 32-Bit Single-Core 80MHz 256KB (256K x 8) FLASH 48-LQFP (7x7)"
"U2","TPS7A0233PDBVR","Top","FP-DBV0005A-IPC_B","13.5890","12.5476","270","IC REG LINEAR 3.3V 200MA SOT23-5"
"U1","MCP73832T-2ACI/OT","Top","FP-C04-091-OT-MFG","14.2524","34.7574","0","IC LI-ION/LI-POLY CTRLR SOT23-5"
"SW_BAT","61300511121","Top","61300511121","4.5720","10.5410","90","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 5 pins"
"STM_PWR","61300511121","Top","61300511121","4.5720","36.3728","270","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 5 pins"
"LED","RED_0805","Top","EVRL-17-21SYGC_V","27.6184","37.1602","0","LED Red , 60 mW, 25 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel  0805"
"RESET","61300511121","Top","61300511121","34.0614","15.2654","270","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 5 pins"
"R8","12k","Top","RESC0402(1005)_L","24.3840","33.0382","270","Chip Resistor, 6,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R7","1k5","Top","RESC0402(1005)_L","23.5204","36.6268","180","Chip Resistor, 6,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R6","5k1","Top","RESC0402(1005)_L","10.1092","21.6434","180","Chip Resistor, 6,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R5","1k5","Top","RESC0402(1005)_L","13.0048","17.3228","180","Chip Resistor, 6,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R4","5k1","Top","RESC0402(1005)_L","10.1092","24.6532","180","Chip Resistor, 6,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R3","1k5","Top","RESC0402(1005)_L","13.0048","28.7020","180","Chip Resistor, 6,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R2","2k","Top","RESC0402(1005)_L","17.3228","36.1696","270","Chip Resistor, 6,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"R1","12k","Top","RESC0402(1005)_L","16.5354","25.0444","90","Chip Resistor, 6,2 kOhms, +/-5 %, 63 mW, -55 to 155 degC, 0402"
"PWR_IN1","TYPE-C-31-M-12","Top","HRO_TYPE-C-31-M-12","5.2990","23.3624","270","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"PWR","GREEN_0805","Top","EVRL-17-21SYGC_V","13.1572","19.7358","180","LED Green, 60 mW, 25 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel  0805"
